Extension Name,Functions,Types,Index Access Methods,Storage Managers,Client Authentication,Query Processing,Utility Commands,Number of Components
pg_timeout,Yes,No,No,No,No,No,No,1
pg_tle,Yes,Yes,No,No,Yes,No,Yes,4
pg_track_settings,Yes,No,No,No,No,No,No,1
pg_trgm,Yes,Yes,Yes,No,No,No,No,3
pg_utility_trigger_functions,Yes,No,No,No,No,No,No,1
pg_uuidv7,Yes,No,No,No,No,No,No,1
pg_variables,Yes,No,No,No,No,Yes,No,2
pg_visibility,Yes,No,No,No,No,No,No,1
pg_wait_sampling,Yes,No,No,No,No,Yes,Yes,3
pg_walinspect,Yes,No,No,No,No,No,No,1
pg_wkhtmltopdf,Yes,No,No,No,No,No,No,1
pg_xenophile,Yes,No,No,No,No,No,No,1
pg_xnode,Yes,Yes,No,No,No,No,No,2
pg_xxhash,Yes,No,No,No,No,No,No,1
pgaudit,Yes,No,No,No,Yes,Yes,Yes,4
pgbson,Yes,Yes,Yes,No,No,No,No,3
pgchess,Yes,Yes,No,No,No,No,No,2
pgchronos,Yes,No,No,No,No,No,No,1
pgcozy,Yes,Yes,No,No,No,No,No,2
pgcrypto,Yes,No,No,No,No,No,No,1
pgdecimal,Yes,Yes,No,No,No,No,No,2
pgdecimal2,Yes,Yes,Yes,No,No,No,No,3
pgds,Yes,No,No,No,No,Yes,No,2
pgerror,Yes,Yes,No,No,No,No,No,2
pgespresso,Yes,No,No,No,No,No,No,1
pgextwlist,No,No,No,No,No,No,Yes,1
pgfincore,Yes,No,No,No,No,No,No,1
pgjsonrpc,Yes,No,No,No,No,No,No,1
pgjwt,Yes,No,No,No,No,No,No,1
pglogical,Yes,No,No,No,Yes,No,Yes,3
pgmemento,Yes,No,No,No,No,No,No,1
pgmp,Yes,Yes,Yes,No,No,No,No,3
pgmq,Yes,Yes,No,No,No,No,No,2
pgpyml,Yes,No,No,No,No,No,No,1
pgrouting,Yes,Yes,No,No,No,No,No,2
pgrowlocks,Yes,No,No,No,No,No,No,1
pgsentinel,Yes,No,No,No,No,Yes,No,2
pgsmtp,Yes,No,No,No,No,No,No,1
pgsodium,Yes,Yes,No,No,No,No,No,2
pgspeck,Yes,No,No,No,No,No,No,1
pgsql_tweaks,Yes,No,No,No,No,No,No,1
pgstattuple,Yes,No,No,No,No,No,No,1
pgtap,Yes,No,No,No,No,No,No,1
pgtelemetry,Yes,No,No,No,No,No,No,1
pgtt,No,No,No,No,No,Yes,Yes,2
pgvihash,Yes,No,No,No,No,No,No,1
pgwaffles,Yes,No,No,No,No,No,No,1
pgzint,Yes,No,No,No,No,No,No,1
planinstr,No,No,No,No,No,Yes,No,1
plparrot,Yes,No,No,No,No,No,No,1
plpgsql_check,Yes,No,No,No,No,Yes,No,2
plprofiler,Yes,No,No,No,No,No,Yes,2
plproxy,Yes,No,No,Yes,No,No,No,2
plrust,Yes,Yes,No,No,No,No,No,2
plv8,Yes,No,No,No,No,No,No,1
pmpp,Yes,Yes,No,No,No,No,No,2
popcount,Yes,No,No,No,No,No,No,1
postal,Yes,No,No,No,No,No,No,1
postcode,Yes,Yes,Yes,No,No,No,No,3
postgis,Yes,Yes,No,No,No,Yes,No,3
postgres_fdw,Yes,No,No,Yes,No,No,No,2
postgresql_anonymizer,Yes,Yes,No,No,No,No,No,2
postgresql_faker,Yes,No,No,No,No,No,No,1
postgresql_hll,Yes,Yes,No,No,No,Yes,No,3
powa,Yes,Yes,No,No,No,No,No,2
prefix,Yes,Yes,Yes,No,No,No,No,3
prioritize,Yes,No,No,No,No,No,No,1
probabilistic_counter,Yes,Yes,No,No,No,No,No,2
probabilistic_estimator,Yes,Yes,No,No,No,No,No,2
prometheus_fdw,Yes,No,No,Yes,No,No,No,2
psl,Yes,No,No,No,No,No,No,1
qgres,Yes,Yes,No,No,No,No,No,2
quantile,Yes,No,No,No,No,No,No,1
query_histogram,Yes,No,No,No,No,Yes,Yes,3
query_recorder,Yes,No,No,No,No,Yes,Yes,3
range_agg,Yes,No,No,No,No,No,No,1
range_partitioning,Yes,No,No,No,No,No,No,1
range_tools,Yes,No,No,No,No,No,No,1
range_type_functions,Yes,No,No,No,No,No,No,1
rdf_fdw,Yes,No,No,Yes,No,No,No,2
rdkit,Yes,Yes,Yes,No,No,No,No,3
redis_fdw,Yes,No,No,Yes,No,No,No,2
resetsequence,Yes,Yes,No,No,No,No,No,2
roleman,Yes,No,No,No,No,No,No,1
ruid,Yes,Yes,Yes,No,No,No,No,3
rum,Yes,Yes,Yes,No,No,No,No,3
s3_fdw,Yes,No,No,Yes,No,No,No,2
safeupdate,No,No,No,No,No,Yes,No,1
saio,No,No,No,No,No,Yes,No,1
salesforce_id,Yes,Yes,Yes,No,No,No,No,3
seg,Yes,Yes,Yes,No,No,No,No,3
semver,Yes,Yes,Yes,No,No,No,No,3
sepgsql,Yes,No,No,No,Yes,No,Yes,3
sequential_uuids,Yes,No,No,No,No,No,No,1
session_hash_tools,Yes,No,No,No,No,No,No,1
session_variable,Yes,No,No,No,No,No,No,1
set_user,Yes,No,No,No,Yes,No,Yes,3
sha,Yes,Yes,Yes,No,No,No,No,3
shacrypt,Yes,No,No,No,No,No,No,1
shard_manager,Yes,No,No,No,No,No,No,1
shared_ispell,Yes,No,Yes,No,No,No,No,2
short_ids,Yes,No,No,No,No,No,No,1
slony-i,Yes,Yes,No,No,No,No,No,2
soundex-function,Yes,No,No,No,No,No,No,1
soundex-operator,Yes,No,No,No,No,No,No,1
soundex-type,Yes,Yes,No,No,No,No,No,2
spi,Yes,No,No,No,No,No,No,1
sqlite_fdw,Yes,No,No,Yes,No,No,No,2
sslinfo,Yes,No,No,No,No,No,No,1
ssn,Yes,Yes,Yes,No,No,No,No,3
statsd,Yes,No,No,No,No,No,No,1
streaming_lag,No,No,No,No,No,No,No,0
superloglog_counter,Yes,Yes,No,No,No,No,No,2
superloglog_estimator,Yes,Yes,No,No,No,No,No,2
tab_tier,Yes,No,No,No,No,No,No,1
table_version,Yes,Yes,No,No,No,No,No,2
tablefunc,Yes,Yes,No,No,No,No,No,2
tblsize_nolock,Yes,No,No,No,No,No,No,1
tcn,Yes,No,No,No,No,No,No,1
tds_fdw,Yes,No,No,Yes,No,No,No,2
template_fdw,Yes,No,No,Yes,No,No,No,2
temporal,Yes,Yes,Yes,No,No,No,No,3
temporal_tables,Yes,No,No,No,No,No,No,1
test_decoding,No,No,No,No,No,No,Yes,1
test_factory,Yes,Yes,No,No,No,No,No,2
tg_sanity,Yes,No,No,No,No,No,No,1
timescaledb,Yes,Yes,No,Yes,No,Yes,Yes,5
timeseries,Yes,No,No,No,No,No,No,1
timestampandtz,Yes,Yes,Yes,No,No,No,No,3
tinyint,Yes,Yes,Yes,No,No,No,No,3
treasuredata_fdw,Yes,No,No,Yes,No,No,No,2
trimmed_aggregates,Yes,No,No,No,No,No,No,1
trunklet,Yes,No,No,No,No,No,No,1
trunklet-format,Yes,No,No,No,No,No,No,1
tsm_system_rows,Yes,No,No,No,No,No,No,1
tsm_system_time,Yes,No,No,No,No,No,No,1
tsvector2,Yes,Yes,Yes,No,No,No,No,3
tuplock,Yes,No,No,No,No,No,No,1
twitter_fdw,Yes,No,No,Yes,No,No,No,2
unaccent,Yes,No,Yes,No,No,No,No,2
unidecode,Yes,No,No,No,No,No,No,1
unnest_ordinality,Yes,No,No,No,No,No,No,1
url_encode,Yes,No,No,No,No,No,No,1
user_info,Yes,No,No,No,No,No,No,1
uuid-ossp,Yes,No,No,No,No,No,No,1
vacuum_utils,Yes,Yes,No,No,No,No,No,2
validadores,Yes,No,No,No,No,No,No,1
variant,Yes,Yes,Yes,No,No,No,No,3
varint,Yes,Yes,Yes,No,No,No,No,3
vector,Yes,Yes,Yes,No,No,No,No,3
vectorize,Yes,No,No,No,No,No,No,1
veil2,Yes,Yes,No,No,No,No,No,2
vops,Yes,Yes,No,Yes,No,Yes,No,4
wal2json,No,No,No,No,No,No,Yes,1
weighted_mean,Yes,No,No,No,No,No,No,1
weighted_stats,Yes,No,No,No,No,No,No,1
wltree,Yes,Yes,Yes,No,No,No,No,3
worker_spark,No,No,No,No,No,No,No,0
www_fdw,Yes,Yes,No,Yes,No,No,No,3
xml2,Yes,No,No,No,No,No,No,1
zhparser,Yes,No,No,No,No,No,No,1
